CVEGEO,MUNICIPIO,CLAVE             GEO-LOC,LOCALIDAD,FECHA,DEPENDENCIA,ACCIONES,PERSONAS_ATENDIDAS,CANTIDAD_DE_PETICIONES_RECIBIDAS,TIPO_DE_PETICION_MAS_FRECUENTE,ÁREA DE OPORTUNIDAD,FOTO
30039,Coatzacoalcos,30039,Coatzacoalcos,25/08/19,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Jurídica",13,13,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmKYWPst
30003,Acayucan,30003,Acayucan,31/08/19,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Jurídica",10,10,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmKZ5a3t
30145,Soconusco,30145,Soconusco,01/09/19,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Jurídica",4,4,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmKZ5a3t
30207,Tres Valles,30207,Tres Valles,20/09/19,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Jurídica",12,12,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmKZ4VgW
30094,José Azueta,30094,José Azueta,21/09/19,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Jurídica",15,15,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmKZ4VgW
30094,Juan Rodríguez Clara,30094,Juan Rodríguez Clara,21/09/19,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Jurídica",2,2,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmKYWXKM
30174,Tierra Blanca,30174,Tierra Blanca,22/09/19,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Jurídica",14,14,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmKZ4VgW
30028,Boca del Río,30028,Boca del Río,27/09/19,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Jurídica",17,17,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmKYWnCd
30028,Boca del Río,30028,Boca del Río,28/09/19,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Jurídica",37,37,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmKYWnCd
30028,Boca del Río,30028,Boca del Río,29/09/19,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Jurídica",21,21,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmKYWnCd
30086,Jalacingo,30086,Jalacingo,11/10/19,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Jurídica",15,15,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmL2kr2t
30010,Altotonga,30010,Altotonga,11/10/19,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Jurídica",11,11,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmL2kr2t
30023,Atzalan,30023,Atzalan,11/10/19,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Jurídica",4,4,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmL2kr2t
30194,Villa Aldama,30194,Villa Aldama,12/10/19,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Jurídica",14,14,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmL2kr2t
30132,Las Vigas,30132,Las Vigas,12/10/19,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Jurídica",18,18,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmKYUtdR
30128,Perote,30128,Perote,13/10/19,Instituto Veracruzano de la Defensoría Pública,"Orientación Jurídica
Asesoría Jurídica 
Defensa Penal
Representación Jurídica",18,18,Asesoría y Representación Jurídica,S/D,https://flic.kr/s/aHsmL2kr2t
